Symbol,Security Name,Exchange
DAICW,"CID HoldCo, Inc. - Warrants",NASDAQ
DAIO,Data I/O Corporation - Common Stock,NASDAQ
DAK,Dakota Active Equity ETF,NASDAQ
DAKT,"Daktronics, Inc. - Common Stock",NASDAQ
DALI,First Trust Dorsey Wright DALI Equity ETF,NASDAQ
DAPP,VanEck Digital Transformation ETF,NASDAQ
DARE,"Dare Bioscience, Inc. - Common Stock",NASDAQ
DASH,"DoorDash, Inc. - Common Stock",NASDAQ
DAVE,Dave Inc.  - Class A Common Stock,NASDAQ
DAVEW,Dave Inc.  - Warrants,NASDAQ
DAWN,"Day One Biopharmaceuticals, Inc. - Common Stock",NASDAQ
DAX,Global X DAX Germany ETF,NASDAQ
DBCA,D. Boral Acquisition I Corp. - Class A Ordinary Shares,NASDAQ
DBCAU,D. Boral Acquisition I Corp. - Unit,NASDAQ
DBCAW,D. Boral Acquisition I Corp. - Warrants,NASDAQ
DBGI,"Digital Brands Group, Inc. - Common Stock",NASDAQ
DBSC,Deepwater Beachfront Small Cap ETF,NASDAQ
DBVT,DBV Technologies S.A. - American Depositary Shares,NASDAQ
DBX,"Dropbox, Inc. - Class A Common Stock",NASDAQ
DCBO,Docebo Inc. - Common Shares,NASDAQ
DCGO,DocGo Inc. - Common Stock,NASDAQ
DCOM,"Dime Community Bancshares, Inc. - Common Stock",NASDAQ
DCOMG,"Dime Community Bancshares, Inc. - 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034",NASDAQ
DCOMP,"Dime Community Bancshares, Inc. - Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ
DCOY,Decoy Therapeutics Inc. - Common Stock,NASDAQ
DCTH,"Delcath Systems, Inc. - Common Stock",NASDAQ
DCX,Digital Currency X Technology Inc. - Class A Ordinary Shares,NASDAQ
DDI,"DoubleDown Interactive Co., Ltd. - American Depository Shares",NASDAQ
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,NASDAQ
DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ
DECO,State Street Galaxy Digital Asset Ecosystem ETF,NASDAQ
DEFT,"Defi Technologies, Inc. - Common Stock",NASDAQ
DEMZ,Democratic Large Cap Core ETF,NASDAQ
DERM,Journey Medical Corporation - Common Stock,NASDAQ
DEVS,DevvStream Corp. - Common Stock,NASDAQ
DFDV,DeFi Development Corp. - Common Stock,NASDAQ
DFDVW,DeFi Development Corp. - Warrant,NASDAQ
DFGP,Dimensional Global Core Plus Fixed Income ETF,NASDAQ
DFGX,Dimensional International Core Fixed Income ETF,NASDAQ
DFLI,Dragonfly Energy Holdings Corp - Common Stock,NASDAQ
DFLIW,Dragonfly Energy Holdings Corp - Warrant,NASDAQ
DFNS,T3 Defense Inc. - Common Stock,NASDAQ
DFNSW,T3 Defense Inc. - Warrants,NASDAQ
DFSC,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering",NASDAQ
DFSCW,DEFSEC Technologies Inc. - warrant,NASDAQ
DFTX,"Definium Therapeutics, Inc.  - Common Shares",NASDAQ
DGCB,Dimensional Global Credit ETF,NASDAQ
DGICA,"Donegal Group, Inc. - Class A Common Stock",NASDAQ
DGICB,"Donegal Group, Inc. - Class B Common Stock",NASDAQ
DGII,Digi International Inc. - Common Stock,NASDAQ
DGLO,First Trust RBA Deglobalization ETF,NASDAQ
DGNX,Diginex Limited - Ordinary Shares,NASDAQ
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,NASDAQ
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,NASDAQ
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,NASDAQ
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares,NASDAQ
DH,Definitive Healthcare Corp. - Class A Common Stock,NASDAQ
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,NASDAQ
DHCNI,Diversified Healthcare Trust  - 5.625% Senior Notes due 2042,NASDAQ
DHCNL,Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046,NASDAQ
DHIL,"Diamond Hill Investment Group, Inc. - Class A Common Stock",NASDAQ
DIBS,"1stdibs.com, Inc. - Common Stock",NASDAQ
DIME,CoinShares Altcoins ETF,NASDAQ
DIOD,Diodes Incorporated - Common Stock,NASDAQ
DIVD,Altrius Global Dividend ETF,NASDAQ
DJCO,Daily Journal Corp. (S.C.) - Common Stock,NASDAQ
DJT,Trump Media & Technology Group Corp. - Common Stock,NASDAQ
DJTWW,Trump Media & Technology Group Corp. - Warrants,NASDAQ
DKI,DarkIris Inc. - Class A Ordinary Shares,NASDAQ
DKNG,DraftKings Inc. - Class A Common Stock,NASDAQ
DKNX,Defiance Daily Target 2X Long DKNG ETF,NASDAQ
DLHC,DLH Holdings Corp. - Common Stock,NASDAQ
DLLL,GraniteShares 2x Long DELL Daily ETF,NASDAQ
DLO,DLocal Limited - Class A Common Shares,NASDAQ
DLPN,"Dolphin Entertainment, Inc. - Common Stock",NASDAQ
DLTH,Duluth Holdings Inc. - Class B Common Stock,NASDAQ
DLTR,"Dollar Tree, Inc. - Common Stock",NASDAQ
DLXY,Delixy Holdings Limited - Class A Ordinary Shares,NASDAQ
DMAA,Drugs Made In America Acquisition Corp. - Ordinary Shares,NASDAQ
DMAAR,Drugs Made In America Acquisition Corp. - Rights,NASDAQ
DMAAU,Drugs Made In America Acquisition Corp. - Units,NASDAQ
DMAC,DiaMedica Therapeutics Inc. - Common Stock,NASDAQ
DMII,Drugs Made In America Acquisition II Corp. - Ordinary Shares,NASDAQ
DMIIR,Drugs Made In America Acquisition II Corp. - Right,NASDAQ
DMIIU,Drugs Made In America Acquisition II Corp. - Unit,NASDAQ
DMLP,"Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests",NASDAQ
DMRA,"Damora Therapeutics, Inc. - Common Stock",NASDAQ
DMRC,Digimarc Corporation - Common Stock,NASDAQ
DMXF,iShares ESG Advanced MSCI EAFE ETF,NASDAQ
DNLI,Denali Therapeutics Inc. - Common Stock,NASDAQ
DNMX,Dynamix Corporation III - Class A Ordinary Shares,NASDAQ
DNMXU,Dynamix Corporation III - Unit,NASDAQ
DNMXW,Dynamix Corporation III - Warrants,NASDAQ
DNNG,Leverage Shares 2x Long DNN Daily ETF,NASDAQ
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",NASDAQ
DNUT,"Krispy Kreme, Inc. - Common Stock",NASDAQ
DOCU,"DocuSign, Inc. - Common Stock",NASDAQ
DOGZ,Dogness (International) Corporation - Class A Common Stock,NASDAQ
DOMH,Dominari Holdings Inc. - Common Stock,NASDAQ
DOMO,"Domo, Inc. - Class B Common Stock",NASDAQ
DOO,BRP Inc. - Common Subordinate Voting Shares,NASDAQ
DORM,"Dorman Products, Inc. - Common Stock",NASDAQ
DOX,Amdocs Limited - Ordinary Shares,NASDAQ
DOYU,DouYu International Holdings Limited - American Depositary Shares,NASDAQ
DPRO,Draganfly Inc. - Common Shares,NASDAQ
DPZ,Domino's Pizza Inc - Common Stock,NASDAQ
DRCT,"Direct Digital Holdings, Inc. - Class A Common Stock",NASDAQ
DRDB,Roman DBDR Acquisition Corp. II - Ordinary shares,NASDAQ
DRDBU,Roman DBDR Acquisition Corp. II - Unit,NASDAQ
DRDBW,Roman DBDR Acquisition Corp. II - Warrants,NASDAQ
DRH,Diamondrock Hospitality Company - Common Stock,NASDAQ
DRIO,DarioHealth Corp. - Common Stock,NASDAQ
DRIV,Global X Autonomous & Electric Vehicles ETF,NASDAQ
DRMA,"Dermata Therapeutics, Inc. - Common Stock",NASDAQ
DRMAW,"Dermata Therapeutics, Inc. - Warrant",NASDAQ
DRNZ,REX Drone ETF,NASDAQ
DRS,"Leonardo DRS, Inc. - Common Stock",NASDAQ
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,NASDAQ
DRTSW,Alpha Tau Medical Ltd. - Warrant,NASDAQ
DRUG,Bright Minds Biosciences Inc. - common stock,NASDAQ
DRVN,Driven Brands Holdings Inc. - Common Stock,NASDAQ
DSAC,Daedalus Special Acquisition Corp. - Class A Ordinary Shares,NASDAQ
DSACU,Daedalus Special Acquisition Corp. - Unit,NASDAQ
DSACW,Daedalus Special Acquisition Corp. - Warrant,NASDAQ
DSGN,"Design Therapeutics, Inc. - Common Stock",NASDAQ
DSGR,"Distribution Solutions Group, Inc. - Common Stock",NASDAQ
DSGX,The Descartes Systems Group Inc. - Common Stock,NASDAQ
DSP,Viant Technology Inc. - common stock,NASDAQ
DSWL,"Deswell Industries, Inc. - Common Shares",NASDAQ
DSY,Big Tree Cloud Holdings Limited - Class A Ordinary Shares,NASDAQ
DSYWW,Big Tree Cloud Holdings Limited - Warrants,NASDAQ
DTCR,Global X Data Center & Digital Infrastructure ETF,NASDAQ
DTCX,"Datacentrex, Inc. - Common Stock",NASDAQ
DTI,Drilling Tools International Corporation  - Common Stock,NASDAQ
DTIL,"Precision BioSciences, Inc. - Common Stock",NASDAQ
DTSQ,DT Cloud Star Acquisition Corporation - Ordinary Shares,NASDAQ
DTSQR,DT Cloud Star Acquisition Corporation - Right,NASDAQ
DTSQU,DT Cloud Star Acquisition Corporation - Units,NASDAQ
DTSS,Datasea Inc. - Common Stock,NASDAQ
DTST,Data Storage Corporation - Common Stock,NASDAQ
DTSTW,Data Storage Corporation - Warrant,NASDAQ
DUKH,Ocean Park High Income ETF,NASDAQ
DUKX,Ocean Park International ETF,NASDAQ
DUO,Fangdd Network Group Ltd. - Class A Ordinary Shares,NASDAQ
DUOG,Leverage Shares 2X Long DUOL Daily ETF,NASDAQ
DUOL,"Duolingo, Inc. - Class A Common Stock",NASDAQ
DUOT,"Duos Technologies Group, Inc. - Common Stock",NASDAQ
DVAL,BrandywineGLOBAL-Dynamic US Large Cap Value ETF,NASDAQ
DVGR,DAC 3D Dividend Growth ETF,NASDAQ
DVIN,WEBs Industrials XLI Defined Volatility ETF,NASDAQ
DVLT,Datavault AI Inc. - Common Stock,NASDAQ
DVLU,First Trust Dorsey Wright Momentum & Value ETF,NASDAQ
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,NASDAQ
DVQQ,WEBs QQQ Defined Volatility ETF,NASDAQ
DVRE,WEBs Real Estate XLRE Defined Volatility ETF,NASDAQ
DVSP,WEBs SPY Defined Volatility ETF,NASDAQ
DVUT,WEBs Utilities XLU Defined Volatility ETF,NASDAQ
DVXB,WEBs Materials XLB Defined Volatility ETF,NASDAQ
DVXC,WEBs Communication Services XLC Defined Volatility ETF,NASDAQ
DVXE,WEBs Energy XLE Defined Volatility ETF,NASDAQ
DVXF,WEBs Financial XLF Defined Volatility ETF,NASDAQ
DVXK,WEBs Technology XLK Defined Volatility ETF,NASDAQ
DVXP,WEBs Consumer Staples XLP Defined Volatility ETF,NASDAQ
DVXV,WEBs Health Care XLV Defined Volatility ETF,NASDAQ
DVXY,WEBs Consumer Discretionary XLY Defined Volatility ETF,NASDAQ
DVY,iShares Select Dividend ETF,NASDAQ
DWAS,Invesco Dorsey Wright SmallCap Momentum ETF,NASDAQ
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,NASDAQ
DWSH,AdvisorShares Dorsey Wright Short ETF,NASDAQ
DWSN,Dawson Geophysical Company - Common Stock,NASDAQ
DWTX,"Dogwood Therapeutics, Inc.  - Common Stock",NASDAQ
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,NASDAQ
DXCM,"DexCom, Inc. - Common Stock",NASDAQ
DXLG,"Destination XL Group, Inc. - Common Stock",NASDAQ
DXPE,"DXP Enterprises, Inc. - Common Stock",NASDAQ
DXR,Daxor Corporation - Closed End Fund,NASDAQ
DXST,Decent Holding Inc. - Class A Ordinary Shares,NASDAQ
DYAI,"Dyadic International, Inc. - Common Stock",NASDAQ
DYFI,IDX Dynamic Fixed Income ETF,NASDAQ
DYN,"Dyne Therapeutics, Inc. - Common Stock",NASDAQ
DYNB,Hartford Dynamic Bond ETF,NASDAQ
DYOR,Insight Digital Partners II - Class A Ordinary Shares,NASDAQ
DYORU,Insight Digital Partners II - Units,NASDAQ
DYORW,Insight Digital Partners II - Warrants,NASDAQ
DYTA,SGI Dynamic Tactical ETF,NASDAQ
EA,Electronic Arts Inc. - Common Stock,NASDAQ
EART,Global X Rare Earth & Critical Materials ETF,NASDAQ
EASY,Liberty One Defensive Dividend Growth ETF,NASDAQ
EBAY,eBay Inc. - Common Stock,NASDAQ
EBC,"Eastern Bankshares, Inc. - Common Stock",NASDAQ
EBI,Longview Advantage ETF,NASDAQ
EBIZ,Global X E-commerce ETF,NASDAQ
EBMT,"Eagle Bancorp Montana, Inc. - Common Stock",NASDAQ
EBON,Ebang International Holdings Inc. - Class A Ordinary Shares,NASDAQ
ECBK,"ECB Bancorp, Inc. - Common Stock",NASDAQ
ECOR,"electroCore, Inc. - Common Stock",NASDAQ
ECOW,Pacer Emerging Markets Cash Cows 100 ETF,NASDAQ
ECPG,Encore Capital Group Inc - Common Stock,NASDAQ
ECX,ECARX Holdings Inc. - Class A Ordinary shares,NASDAQ
ECXWW,ECARX Holdings Inc. - Warrants,NASDAQ
EDAP,"EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share",NASDAQ
EDBL,Edible Garden AG Incorporated - Common Stock,NASDAQ
EDBLW,Edible Garden AG Incorporated - Warrant,NASDAQ
EDHL,Everbright Digital Holding Limited - Ordinary Shares,NASDAQ
EDIT,"Editas Medicine, Inc. - Common Stock",NASDAQ
EDRY,EuroDry Ltd. - Common Shares,NASDAQ
EDSA,"Edesa Biotech, Inc. - Common Shares",NASDAQ
EDTK,Skillful Craftsman Education Technology Limited - Ordinary Share,NASDAQ
EDUC,Educational Development Corporation - Common Stock,NASDAQ
EEE,CYBER HORNET S&P 500 and Ethereum 75/25 Strategy ETF,NASDAQ
EEFT,"Euronet Worldwide, Inc. - Common Stock",NASDAQ
EEIQ,EpicQuest Education Group International Limited - Common Stock,NASDAQ
EEMA,iShares MSCI Emerging Markets Asia ETF,NASDAQ
EFAS,Global X MSCI SuperDividend EAFE ETF,NASDAQ
EFOI,"Energy Focus, Inc. - Common Stock",NASDAQ
EFRA,iShares Environmental Infrastructure and Industrials ETF,NASDAQ
EFSC,Enterprise Financial Services Corporation - Common Stock,NASDAQ
EFSCP,"Enterprise Financial Services Corporation - Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ
EFSI,Eagle Financial Services Inc - Common Stock,NASDAQ
EFTY,"Etoiles Capital Group Co., Ltd. - Class A Ordinary Shares",NASDAQ
EGAN,eGain Corporation - Common Stock,NASDAQ
EGBN,"Eagle Bancorp, Inc. - Common Stock",NASDAQ
EGGQ,NestYield Visionary ETF,NASDAQ
EGHA,EGH Acquisition Corp. - Class A ordinary shares,NASDAQ
EGHAR,EGH Acquisition Corp. - rights,NASDAQ
EGHAU,EGH Acquisition Corp. - Unit,NASDAQ
EGHT,8x8 Inc - Common stock,NASDAQ
EH,EHang Holdings Limited - ADS,NASDAQ
EHGO,Eshallgo Inc. - Class A Ordinary Shares,NASDAQ
EHLD,Euroholdings Ltd. - Common Stock,NASDAQ
EHLS,Even Herd Long Short ETF,NASDAQ
EHTH,"eHealth, Inc. - Common Stock",NASDAQ
EIKN,"Eikon Therapeutics, Inc. - Common Stock",NASDAQ
EJH,E-Home Household Service Holdings Limited - Ordinary shares,NASDAQ
EKG,First Trust Nasdaq Lux Digital Health Solutions ETF,NASDAQ
EKSO,"Ekso Bionics Holdings, Inc. - Common Stock",NASDAQ
ELAB,PMGC Holdings Inc. - Common Stock,NASDAQ
ELBM,Electra Battery Materials Corporation - Common Stock,NASDAQ
ELDN,"Eledon Pharmaceuticals, Inc. - Common Stock",NASDAQ
ELE,Elemental Royalty Corporation - Common Stock,NASDAQ
ELFY,ALPS Electrification Infrastructure ETF,NASDAQ
ELIL,Direxion Daily LLY Bull 2X ETF,NASDAQ
ELIS,Direxion Daily LLY Bear 1X ETF,NASDAQ
ELOG,Eastern International Ltd. - Ordinary Shares,NASDAQ
ELPW,Elong Power Holding Limited - Class A Ordinary Shares,NASDAQ
ELSE,"Electro-Sensors, Inc. - Common Stock",NASDAQ
ELTK,Eltek Ltd. - Ordinary Shares,NASDAQ
ELTX,"Elicio Therapeutics, Inc. - Common Stock",NASDAQ
ELUT,"Elutia, Inc. - Class A Common Stock",NASDAQ
ELVA,Electrovaya Inc. - Common Shares,NASDAQ
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",NASDAQ
ELVR,Elevra Lithium Limited - American Depository Shares,NASDAQ
ELWT,"Elauwit Connection, Inc. - Common Stock",NASDAQ
EM,Smart Share Global Limited - American Depositary Shares,NASDAQ
EMAT,Evolution Metals & Technologies Corp. - Common Stock,NASDAQ
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,NASDAQ
EMBC,Embecta Corp. - Common Stock,NASDAQ
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,NASDAQ
EMEQ,Nomura Focused Emerging Markets Equity ETF,NASDAQ
EMIF,iShares Emerging Markets Infrastructure ETF,NASDAQ
EMIS,Emmis Acquisition Corp. - Class A Ordinary Share,NASDAQ
EMISR,Emmis Acquisition Corp. - Rights,NASDAQ
EML,Eastern Company (The) - Common Stock,NASDAQ
EMPD,Empery Digital Inc. - Common stock,NASDAQ
EMPG,Empro Group Inc. - Ordinary shares,NASDAQ
EMXC,iShares MSCI Emerging Markets ex China ETF,NASDAQ
EMXF,iShares ESG Advanced MSCI EM ETF,NASDAQ
ENDW,Cambria Endowment Style ETF,NASDAQ
ENGN,enGene Holdings Inc. - Common Stock,NASDAQ
ENGNW,enGene Holdings Inc. - Warrants,NASDAQ
ENGS,Energys Group Limited - Ordinary Shares,NASDAQ
ENHI,iShares Enhanced International Active ETF,NASDAQ
ENHU,iShares Enhanced Large Cap Core Active ETF,NASDAQ
ENLT,Enlight Renewable Energy Ltd. - Ordinary Shares,NASDAQ
ENLV,Enlivex Ltd. - Ordinary Shares,NASDAQ
ENPH,"Enphase Energy, Inc. - Common Stock",NASDAQ
ENSC,"Ensysce Biosciences, Inc. - Common Stock",NASDAQ
ENSG,"The Ensign Group, Inc. - Common Stock",NASDAQ
ENTA,"Enanta Pharmaceuticals, Inc. - Common Stock",NASDAQ
ENTG,"Entegris, Inc. - Common Stock",NASDAQ
ENTX,Entera Bio Ltd. - Ordinary Shares,NASDAQ
ENVB,"Enveric Biosciences, Inc.  - Common Stock",NASDAQ
ENVX,Enovix Corporation - Common Stock,NASDAQ
ENZL,iShares MSCI New Zealand ETF,NASDAQ
EOLS,"Evolus, Inc. - Common Stock",NASDAQ
EOSE,"Eos Energy Enterprises, Inc. - Common Stock",NASDAQ
EPOW,E-Power Inc. - Class A Ordinary Shares,NASDAQ
EPRX,Eupraxia Pharmaceuticals Inc. - Common Stock,NASDAQ
EPSM,Epsium Enterprise Limited - Class A Ordinary Shares,NASDAQ
EPSN,Epsilon Energy Ltd. - Common Shares,NASDAQ
EQ,"Equillium, Inc. - Common Stock",NASDAQ
EQIX,"Equinix, Inc. - Common Stock",NASDAQ
EQPT,EquipmentShare.com Inc - Class A Common Stock,NASDAQ
EQRR,ProShares Equities for Rising Rates ETF,NASDAQ
ERAS,"Erasca, Inc. - Common Stock",NASDAQ
ERET,iShares Environmentally Aware Real Estate ETF,NASDAQ
ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share,NASDAQ
ERIE,Erie Indemnity Company - Class A Common Stock,NASDAQ
ERII,"Energy Recovery, Inc. - Common Stock",NASDAQ
ERNA,Ernexa Therapeutics Inc. - Common Stock,NASDAQ
ERNAW,Ernexa Therapeutics Inc. - Warrants,NASDAQ
ESCA,"Escalade, Incorporated - Common Stock",NASDAQ
ESEA,Euroseas Ltd. - Common Stock,NASDAQ
ESGD,iShares ESG Aware MSCI EAFE ETF,NASDAQ
ESGE,iShares ESG Aware MSCI EM ETF,NASDAQ
ESGU,iShares ESG Aware MSCI USA ETF,NASDAQ
ESHA,ESH Acquisition Corp. - Class A Common Stock,NASDAQ
ESHAR,ESH Acquisition Corp. - Right,NASDAQ
ESLA,"Estrella Immunopharma, Inc. - Common Stock",NASDAQ
ESLAW,"Estrella Immunopharma, Inc. - Warrant",NASDAQ
ESLT,Elbit Systems Ltd. - Ordinary Shares,NASDAQ
ESMV,iShares ESG Optimized MSCI USA Min Vol Factor ETF,NASDAQ
ESN,Essential 40 Stock ETF,NASDAQ
ESOA,Energy Services of America Corporation - Common Stock,NASDAQ
ESPO,VanEck Video Gaming and eSports ETF,NASDAQ
ESPR,"Esperion Therapeutics, Inc. - Common Stock",NASDAQ
ESQ,"Esquire Financial Holdings, Inc. - Common Stock",NASDAQ
ESTA,Establishment Labs Holdings Inc. - Common Shares,NASDAQ
ETEC,iShares Breakthrough Environmental Solutions ETF,NASDAQ
ETHA,iShares Ethereum Trust ETF,NASDAQ
ETHB,iShares Staked Ethereum Trust ETF,NASDAQ
ETHM,Dynamix Corporation - Class A Ordinary Share,NASDAQ
ETHMU,Dynamix Corporation - Unit,NASDAQ
ETHMW,Dynamix Corporation - Warrant,NASDAQ
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",NASDAQ
ETOR,eToro Group Ltd. - Class A Common Shares,NASDAQ
ETRL,GraniteShares 2x Long ETOR Daily ETF,NASDAQ
ETS,Elite Express Holding Inc. - Class A Common Stock,NASDAQ
EU,enCore Energy Corp. - Common Stock,NASDAQ
EUDA,Euda Health Holdings Limited - Ordinary Shares,NASDAQ
EUDAW,Euda Health Holdings Limited - Warrant,NASDAQ
EUFN,iShares MSCI Europe Financials ETF,NASDAQ
EURK,Eureka Acquisition Corp - Class A Ordinary Share,NASDAQ
EURKR,Eureka Acquisition Corp - Right,NASDAQ
EURKU,Eureka Acquisition Corp - Unit,NASDAQ
EVAX,Evaxion A/S - American Depositary Share,NASDAQ
EVCM,EverCommerce Inc. - Common Stock,NASDAQ
EVER,"EverQuote, Inc. - Class A Common Stock",NASDAQ
EVGN,Evogene Ltd. - Ordinary Shares,NASDAQ
EVGO,EVgo Inc. - Common Stock,NASDAQ
EVGOW,"EVgo Inc. - Warrants, each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50",NASDAQ
EVLV,"Evolv Technologies Holdings, Inc. - Class A Common Stock",NASDAQ
EVLVW,"Evolv Technologies Holdings, Inc. - Warrant",NASDAQ
EVMT,Invesco Electric Vehicle Metals Commodity Strategy No K-1 ETF,NASDAQ
EVO,Evotec SE - American Depositary Shares each representing 1/2 of one ordinary share,NASDAQ
EVOX,Evolution Global Acquisition Corp - Class A Ordinary Shares,NASDAQ
EVOXU,Evolution Global Acquisition Corp - Units,NASDAQ
EVOXW,Evolution Global Acquisition Corp - Warrants,NASDAQ
EVPF,Eaton Vance Preferred Securities and Income ETF,NASDAQ
EVRG,"Evergy, Inc. - Common Stock",NASDAQ
EVSD,Eaton Vance Short Duration Income ETF,NASDAQ
EVTV,"Envirotech Vehicles, Inc. - Common stock",NASDAQ
EVYM,Eaton Vance High Income Municipal ETF,NASDAQ
EWBC,"East West Bancorp, Inc. - Common Stock",NASDAQ
EWCZ,"European Wax Center, Inc. - Class A Common Stock",NASDAQ
EWJV,iShares MSCI Japan Value ETF,NASDAQ
EWTX,"Edgewise Therapeutics, Inc. - Common Stock",NASDAQ
EWZS,iShares MSCI Brazil Small-Cap ETF,NASDAQ
EXC,Exelon Corporation - Common Stock,NASDAQ
EXE,Expand Energy Corporation - Common Stock,NASDAQ
EXEL,"Exelixis, Inc. - Common Stock",NASDAQ
EXFY,"Expensify, Inc. - Class A Common Stock",NASDAQ
EXLS,"ExlService Holdings, Inc. - Common Stock",NASDAQ
EXOZ,eXoZymes Inc. - Common Stock,NASDAQ
EXPE,"Expedia Group, Inc. - Common Stock",NASDAQ
EXPI,"eXp World Holdings, Inc. - Common Stock",NASDAQ
EXPO,"Exponent, Inc. - Common Stock",NASDAQ
EXTR,"Extreme Networks, Inc. - Common Stock",NASDAQ
EXUS,Nomura Focused International Core ETF,NASDAQ
EYE,"National Vision Holdings, Inc. - Common Stock",NASDAQ
EYEG,AB Corporate Bond ETF,NASDAQ
EYPT,"EyePoint, Inc. - Common Stock",NASDAQ
EZGO,EZGO Technologies Ltd. - Ordinary Shares,NASDAQ
EZMO,AlphaDroid Broad Markets Momentum ETF,NASDAQ
EZPW,"EZCORP, Inc. - Class A Non-Voting Common Stock",NASDAQ
EZRA,"Reliance Global Group, Inc. - Common Stock",NASDAQ
EZRO,AlphaDroid Defensive Sector Rotation ETF,NASDAQ
FA,First Advantage Corporation - Common Stock,NASDAQ
FAAA,Fidelity AAA CLO ETF,NASDAQ
FAAR,First Trust Alternative Absolute Return Strategy ETF,NASDAQ
FAB,First Trust Multi Cap Value AlphaDEX Fund,NASDAQ
FACT,FACT II Acquisition Corp. - Class A Ordinary Shares,NASDAQ
FACTU,FACT II Acquisition Corp. - Unit,NASDAQ
FACTW,FACT II Acquisition Corp. - Warrant,NASDAQ
FAD,First Trust Multi Cap Growth AlphaDEX Fund,NASDAQ
FALN,iShares Fallen Angels USD Bond ETF,NASDAQ
FAMI,"Farmmi, INC. - Class A Ordinary Share",NASDAQ
FANG,"Diamondback Energy, Inc. - Common Stock",NASDAQ
FARM,Farmer Brothers Company - Common Stock,NASDAQ
FAST,Fastenal Company - Common Stock,NASDAQ
FATE,"Fate Therapeutics, Inc. - Common Stock",NASDAQ
FATN,"FatPipe, Inc. - common stock",NASDAQ
FBGL,FBS Global Limited - Ordinary Shares,NASDAQ
FBIO,"Fortress Biotech, Inc. - Common Stock",NASDAQ
FBIOP,"Fortress Biotech, Inc. - 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock",NASDAQ
FBIZ,"First Business Financial Services, Inc. - Common Stock",NASDAQ
FBL,GraniteShares 2x Long META Daily ETF,NASDAQ
FBLA,"FB Bancorp, Inc. - Common Stock",NASDAQ
FBLG,"FibroBiologics, Inc. - Common Stock",NASDAQ
FBNC,First Bancorp - Common Stock,NASDAQ
FBOT,Fidelity Disruptive Automation ETF,NASDAQ
FBRX,"Forte Biosciences, Inc.  - Common Stock",NASDAQ
FBYD,"Falcon's Beyond Global, Inc. - Class A Common Stock",NASDAQ
FBYDW,"Falcon's Beyond Global, Inc. - Warrants",NASDAQ
FBYY,GraniteShares YieldBOOST META ETF,NASDAQ
FCA,First Trust China AlphaDEX Fund,NASDAQ
FCAL,First Trust California Municipal High income ETF,NASDAQ
FCAP,"First Capital, Inc. - Common Stock",NASDAQ
FCBC,"First Community Bankshares, Inc. - Common Stock",NASDAQ
FCCO,First Community Corporation - Common Stock,NASDAQ
FCEF,First Trust Income Opportunities ETF,NASDAQ
FCEL,"FuelCell Energy, Inc. - Common Stock",NASDAQ
FCFS,"FirstCash Holdings, Inc. - Common Stock",NASDAQ
FCHL,Fitness Champs Holdings Limited - Ordinary Shares,NASDAQ
FCLO,Fidelity CLO ETF,NASDAQ
FCNCA,"First Citizens BancShares, Inc. - Class A Common Stock",NASDAQ
FCNCN,"First Citizens BancShares, Inc. - Depositary Shares, each representing a 1/40th interest in a share of 6.625% Non-Cumulative Perpetual Preferred Stock, Series E",NASDAQ
FCNCO,"First Citizens BancShares, Inc. - 5.625% Non-Cumulative Perpetual Preferred Stock, Series C",NASDAQ
FCNCP,"First Citizens BancShares, Inc. - Depositary Shares Each Representing a 1/40th Interest in a Share of 5.375% Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ
FCTE,SMI 3Fourteen Full-Cycle Trend ETF,NASDAQ
FCUV,Focus Universal Inc. - Common Stock,NASDAQ
FCVT,First Trust SSI Strategic Convertible Securities ETF,NASDAQ
FCXG,Leverage Shares 2x Long FCX Daily ETF,NASDAQ
